recording_id,species,scientific_name,raw_type,communication_type,recording_file,segment_file,segment_filename,recordist,country,location,date,quality,license,source_url
1104492,Common Myna,Acridotheres tristis,call,contact_social,"dataset\processed\Acridotheres_tristis\XC1104492-Common-Myna-call-very-good-2026-04-19-Jebel-Jais,-Ras-Al-Khaimah,-UAE_SoundDevices702_Telinga9_1109_edited.wav","dataset\segments\Acridotheres_tristis\XC1104492-Common-Myna-call-very-good-2026-04-19-Jebel-Jais,-Ras-Al-Khaimah,-UAE_SoundDevices702_Telinga9_1109_edited_segment_0000.wav","XC1104492-Common-Myna-call-very-good-2026-04-19-Jebel-Jais,-Ras-Al-Khaimah,-UAE_SoundDevices702_Telinga9_1109_edited_segment_0000.wav",David Darrell-Lambert,United Arab Emirates,"Jebel Jais, Ras Al Khaimah",2026-04-19,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1104492
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0000.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0000.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0001.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0001.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0002.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0002.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0003.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0003.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0004.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0004.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0005.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0005.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0006.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0006.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0007.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0007.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
1139814,Common Myna,Acridotheres tristis,song,song,dataset\processed\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham.wav,dataset\segments\Acridotheres_tristis\XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0008.wav,XC1139814-Common-Myna-20260602-01a-garden-Makham_segment_0008.wav,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",2026-06-02,A,https://creativecommons.org/licenses/by-nc-sa/4.0/,https://xeno-canto.org/1139814
