id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1175438,Acridotheres,tristis,,birds,Common Myna,Tim Dinh / Annambirding,Vietnam,"Da Lat area, Lam Dong Province",11.935,108.4452,1500,call,uncertain,adult,field recording,https://xeno-canto.org/1175438,https://xeno-canto.org/1175438/download,XC1175438-Common-Mynah.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,07:00,2026-09-02,2026-09-02,,yes,no,,,no, H5 Handy Zoom,Rode NTG5,48000,,identified
1173502,Acridotheres,tristis,,birds,Common Myna,Filippo Ceccolini,Madagascar,"Ambositra I (near  Ambositra), Ambositra, Amoron'i Mania",-20.5136,47.2491,1300,song,,,field recording,https://xeno-canto.org/1173502,https://xeno-canto.org/1173502/download,"XC1173502-reg.-1-maina-(visto)-ore-11,07.mp3",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,11:07,2026-08-15,2026-08-25,,yes,no,,,no,,,48000,,identified
1157330,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Al Mamzar Park, Dubai",25.3201,55.3488,0,song,uncertain,adult,field recording,https://xeno-canto.org/1157330,https://xeno-canto.org/1157330/download,"XC1157330-Common-Myna-singing-very-good-2026-04-19-Mamzar-Park,-Dubai,-UAE_SoundDevices702_Telinga9_1117_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,14:00,2026-04-19,2026-07-20,,yes,no,,,no,Sound devices mixpre 3 MKII,Telinga Pro 9 MKII,48000,,identified
1157329,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Al Mamzar Park, Dubai",25.3201,55.3488,0,call,uncertain,adult,field recording,https://xeno-canto.org/1157329,https://xeno-canto.org/1157329/download,"XC1157329-Common-Myna-call-very-good-2026-04-19-Mamzar-Park,-Dubai,-UAE_SoundDevices702_Telinga9_1116_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,14:00,2026-04-19,2026-07-20,,yes,no,,,no,Sound devices mixpre 3 MKII,Telinga Pro 9 MKII,48000,,identified
1155677,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,call,uncertain,"adult, juvenile",field recording,https://xeno-canto.org/1155677,https://xeno-canto.org/1155677/download,"XC1155677-Common-Myna-call-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1966_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1155676,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,begging call,uncertain,juvenile,field recording,https://xeno-canto.org/1155676,https://xeno-canto.org/1155676/download,"XC1155676-Common-Myna-call-juvenile-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1985_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1155674,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,begging call,uncertain,juvenile,field recording,https://xeno-canto.org/1155674,https://xeno-canto.org/1155674/download,"XC1155674-Common-Myna-call-juvenile-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1973_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1155673,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,alarm call,uncertain,adult,field recording,https://xeno-canto.org/1155673,https://xeno-canto.org/1155673/download,"XC1155673-Common-Myna-alarm-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1983_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1151970,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,song,uncertain,adult,field recording,https://xeno-canto.org/1151970,https://xeno-canto.org/1151970/download,"XC1151970-Common-Myna-singing-very-good-2026-06-27-Khor-Kalba-and-Mangrove-Centre,-Sharjah,-UAE_SoundDevices702_Telinga9_1781_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:14,13:00,2026-06-27,2026-07-01,,no,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
1151969,Acridotheres,tristis,,birds,Common Myna,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,call,uncertain,adult,field recording,https://xeno-canto.org/1151969,https://xeno-canto.org/1151969/download,"XC1151969-Common-Myna-call-very-good-2026-06-27-Khor-Kalba-and-Mangrove-Centre,-Sharjah,-UAE_SoundDevices702_Telinga9_1802_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,13:00,2026-06-27,2026-07-01,,no,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
