id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1151939,Centropus,sinensis,sinensis,birds,Greater Coucal,wu555,China,"三垟湿地,Wenzhou, Zhejiang",27.9624,120.6993,0,song,,adult,field recording,https://xeno-canto.org/1151939,https://xeno-canto.org/1151939/download,XC1151939-褐翅鸦鹃song-温州三垟湿地-20260602-3.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,15:00,2026-06-02,2026-07-01,,yes,no,,,yes,,,44100,,identified
1151938,Centropus,sinensis,sinensis,birds,Greater Coucal,wu555,China,"三垟湿地,Wenzhou, Zhejiang",27.9624,120.6993,0,song,,adult,field recording,https://xeno-canto.org/1151938,https://xeno-canto.org/1151938/download,XC1151938-褐翅鸦鹃song-温州三垟湿地-20260602-5.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:18,15:57,2026-06-02,2026-07-01,,yes,no,,,yes,,,44100,,identified
1077928,Centropus,sinensis,intermedius,birds,Greater Coucal,Sam Hambly,Thailand,"Benchakitti Park (near  Bangkok), Khlong Toei, Krung Thep Maha Nakhon",13.7295,100.5587,0,call,uncertain,adult,field recording,https://xeno-canto.org/1077928,https://xeno-canto.org/1077928/download,XC1077928-greatercouc_1606.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,16:06,2026-02-06,2026-02-06,Not frequently recorded call,yes,no,,,no,,,44100,,identified
1077516,Centropus,sinensis,,birds,Greater Coucal,Christian Kerihuel,India,"Dholpur (near  Talram Sagar), Bharatpur Division, Rajasthan",26.5911,77.5955,240,song,,,field recording,https://xeno-canto.org/1077516,https://xeno-canto.org/1077516/download,XC1077516-grand-coucal-27jan-7h34.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:03,07:30,2026-01-27,2026-02-04,,yes,no,,,no,olympus LS-12,AOM-5024L,44100,,identified
1071393,Centropus,sinensis,intermedius,birds,Greater Coucal,Lim Ying Hien 林勇贤,Malaysia,"Chuping, Perlis",6.6476,100.2826,50,song,uncertain,adult,field recording,https://xeno-canto.org/1071393,https://xeno-canto.org/1071393/download,XC1071393-Greater-Coucal-20260103-Perlis-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:49,10:00,2026-01-02,2026-01-08,,yes,no,,,no,TASCAM DR-05X,,48000,,identified
1071096,Centropus,sinensis,,birds,Greater Coucal,Chi-Hsuan Shao,Taiwan,小金門陵水湖,24.4237,118.2272,0,call,,,field recording,https://xeno-canto.org/1071096,https://xeno-canto.org/1071096/download,XC1071096-20260105-0744-01-褐翅鴉鵑-edit.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,07:44,2026-01-05,2026-01-06,,no,no,,,no,,,96000,,identified
1036738,Centropus,sinensis,,birds,Greater Coucal,TaQini 樂行,China,"Fuzhou National Forest Park, Fuzhou, Fujian",26.1628,119.282,80,song,uncertain,uncertain,field recording,https://xeno-canto.org/1036738,https://xeno-canto.org/1036738/download,XC1036738-褐翅鸦鹃song-20250905-福森.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,22:00,2025-09-05,2025-09-08,,no,no,,,no,TASCAM DR-05XP,Mardo,48000,,identified
1027879,Centropus,sinensis,bubutus,birds,Greater Coucal,Ding Li Yong,Malaysia,"Taman Negara, Sungai Relau, Merapoh, Pahang",4.6781,102.0581,180,song,uncertain,uncertain,field recording,https://xeno-canto.org/1027879,https://xeno-canto.org/1027879/download,XC1027879-Greater-Coucal_Merapoh.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:36,11:00,2025-07-28,2025-08-10,,no,no,,,no,,,48000,,identified
1026108,Centropus,sinensis,bubutus,birds,Greater Coucal,Ding Li Yong,Malaysia,"Taman Negara, Sungai Relau, Merapoh, Pahang",4.6781,102.0581,180,song,uncertain,uncertain,field recording,https://xeno-canto.org/1026108,https://xeno-canto.org/1026108/download,XC1026108-Greater-Coucal_Merapoh.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,1:13,10:30,2025-07-28,2025-08-04,,no,no,,,no,,,48000,,identified
1011992,Centropus,sinensis,,birds,Greater Coucal,Swami Bogim,India,"Krishna (near  Ambapuram), Andhra Pradesh",16.565,80.619,50,,,,field recording,https://xeno-canto.org/1011992,https://xeno-canto.org/1011992/download,XC1011992-Track-589_Greater-Coucal.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,16:00,2025-07-03,2025-07-06,,no,no,,,no,Mobile with Dolby app,,48000,,identified
1004362,Centropus,sinensis,,birds,Greater Coucal,David Darrell-Lambert,Thailand,eBird hotspot: Benjakiti Park,13.7287,100.5542,0,song,uncertain,adult,field recording,https://xeno-canto.org/1004362,https://xeno-canto.org/1004362/download,"XC1004362-Greater-Coucal-singing-very-good-2025-06-5-Benjakiti-Park,-Bangkok,-Thailand_283_Edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,16:00,2025-06-04,2025-06-06,,yes,no,,,no,Sound Devices 702,telinga pro 9 mkII,32000,,identified
1004361,Centropus,sinensis,,birds,Greater Coucal,David Darrell-Lambert,Thailand,eBird hotspot: Benjakiti Park,13.7287,100.5542,0,song,uncertain,adult,field recording,https://xeno-canto.org/1004361,https://xeno-canto.org/1004361/download,"XC1004361-Greater-Coucal-singing-very-good-2025-06-5-Benjakiti-Park,-Bangkok,-Thailand_281_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:10,16:00,2025-06-04,2025-06-06,,yes,no,,,no,Sound Devices 702,telinga pro 9 mkII,32000,,identified
992542,Centropus,sinensis,,birds,Greater Coucal,Feather V,China,"Shenzhen Bay Park--Sunrise Theatre, Shenzhen, Guangdong",22.4993,113.9531,0,song,uncertain,adult,field recording,https://xeno-canto.org/992542,https://xeno-canto.org/992542/download,XC992542-greater-coucal.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,12:00,2025-01-23,2025-04-28,,yes,no,,,no,SONY PCM-A10,,48000,,identified
991357,Centropus,sinensis,,birds,Greater Coucal,Joost van Bruggen,Cambodia,"Birdhide at Changkran Roy Community Forestry, Cambodia",13.7724,103.9042,150,song,male,adult,field recording,https://xeno-canto.org/991357,https://xeno-canto.org/991357/download,"XC991357-Greater-Coucal,-song,-Changkran-Roy,-Cambodia,-240225,-0756-uur.wav",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:52,07:56,2025-02-24,2025-04-24,,no,no,,,no,Zoom H5,Sennheiser MKH416,44100,,identified
954497,Centropus,sinensis,intermedius,birds,Greater Coucal,Lim Ying Hien,Malaysia,"Jeram, Selangor",3.2175,101.3048,0,song,male,adult,field recording,https://xeno-canto.org/954497,https://xeno-canto.org/954497/download,XC954497-Greater-Coucal-20220204-Jg-eBird-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:17,08:00,2022-02-04,2024-12-11,,yes,no,,,no,Fujifilm X-T3,,48000,,identified
914185,Centropus,sinensis,intermedius,birds,Greater Coucal,Lim Ying Hien,Malaysia,"Bukit Rengit, Pahang",3.5895,102.1775,60,song,uncertain,adult,field recording,https://xeno-canto.org/914185,https://xeno-canto.org/914185/download,XC914185-Greater-Coucal-20240614-Lc-e-eBird-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:16,10:00,2024-06-14,2024-06-18,,no,no,,,no,TASCAM DR-05X,,48000,,identified
862888,Centropus,sinensis,intermedius,birds,Greater Coucal,Greg Irving,Thailand,"Lai Ngao (near  Muang Yai), Wiang Kaen District, Chiang Rai",20.1418,100.5267,340,song,,,field recording,https://xeno-canto.org/862888,https://xeno-canto.org/862888/download,XC862888-031-Coucal---Greater-(Centropus-sinensis-intermedius)-Song-SEP-1837h-360m-LaiNgaoTH_gi_5113.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:10,18:37,2023-09-20,2024-01-20,,no,no,,,no,Tascam DR-100 MK III,Sennheiser ME66 & K6,48000,,identified
857385,Centropus,sinensis,intermedius,birds,Greater Coucal,Lim Ying Hien,Malaysia,Tasik Pedu ,6.1965,100.8441,130,duet,"female, male",adult,field recording,https://xeno-canto.org/857385,https://xeno-canto.org/857385/download,XC857385-Greater-Coucal-20230722-Pedu-e.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:19,09:30,2023-07-23,2023-12-25,,yes,no,,,no,TASCAM DR-05X,,44100,,identified
845377,Centropus,sinensis,,birds,Greater Coucal,FREDERIC Lionel,Thailand,"Mae Win, Mae Wang District, Chiang Mai",18.6592,98.6331,550,song,male,adult,field recording,https://xeno-canto.org/845377,https://xeno-canto.org/845377/download,XC845377-Grand_Coucal_231109_Thailande_ampli.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,15:00,2023-11-09,2023-12-04,,no,no,,,no,zoom H5,,48000,,identified
835582,Centropus,sinensis,intermedius,birds,Greater Coucal,Agris Celmins,Cambodia,"Samathi Pagoda, Kep",10.5008,104.3132,80,alarm call,,,field recording,https://xeno-canto.org/835582,https://xeno-canto.org/835582/download,"XC835582-Centropus-sinensis-Greater-Coucal-alarm-call-2014-01-01-1725-Samathi-Pagoda,-Kep-10.500816,-104.313249-(not-seen)-LS11.wav",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:30,17:25,2014-01-01,2023-10-13,,no,no,,,no,Olympus LS11,internal,44100,,identified
