id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1175058,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,0,song,male,adult,field recording,https://xeno-canto.org/1175058,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,07:39,2026-04-20,2026-08-30,,yes,no,,,no,Tascam x8 ,CICADA,48000,,identified
1174136,Copsychus,saularis,saularis,birds,Oriental Magpie-Robin,wu555,China,,,,0,song,male,adult,field recording,https://xeno-canto.org/1174136,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:38,7:39,2026-08-17,2026-08-28,,yes,no,,,yes,,,44100,,identified
1173172,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,1900,song,male,adult,field recording,https://xeno-canto.org/1173172,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,06:20,2026-06-10,2026-08-23,,yes,no,,,no,ZOOM H2E,primo 164  +3D PARABOLIC REFLECTOR,48000,,identified
1172776,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,2000,song,male,adult,field recording,https://xeno-canto.org/1172776,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,2:31,16:54,2026-06-08,2026-08-22,,yes,no,,,no,ZOOM H2E,primo 164  +3D PARABOLIC REFLECTOR,48000,,identified
1164711,Copsychus,saularis,,birds,Oriental Magpie-Robin,Zsombor Károlyi,Thailand,,,,130,song,uncertain,uncertain,field recording,https://xeno-canto.org/1164711,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,07:00,2026-04-06,2026-08-08,,yes,no,,,no,Samsung S24 Ultra,RØDE VideoMic Me-C+,44100,,identified
1145651,Copsychus,saularis,musicus,birds,Oriental Magpie-Robin,Joshua Chong,Singapore,,,,10,subsong,male,adult,field recording,https://xeno-canto.org/1145651,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,17:00,2026-06-05,2026-06-15,,yes,no,,,no,,,48000,,identified
1143675,Copsychus,saularis,,birds,Oriental Magpie-Robin,Barry Edmonston,Bhutan,,,,1400,song,uncertain,adult,field recording,https://xeno-canto.org/1143675,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,07:30,2026-04-08,2026-06-11,Natural vocalizations from single individual perched in nearby tree on wooded hillside.,yes,no,,,no,Zoom F3,Sennheiser ME66,48000,,identified
1107512,Copsychus,saularis,ceylonensis,birds,Oriental Magpie-Robin,Vihanga Artigala,Sri Lanka,,,,30,uncertain,male,adult,field recording,https://xeno-canto.org/1107512,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:35,17:05,2026-04-19,2026-05-11,,yes,no,,,no,Redmi Note 12,,44100,Acridotheres tristis; Eudynamys scolopaceus,identified
1107134,Copsychus,saularis,,birds,Oriental Magpie-Robin,Shuangqi Liu,China,,,,800,song,male,adult,field recording,https://xeno-canto.org/1107134,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:21,13:29,2026-05-08,2026-05-10,,yes,no,,,no,Sony PCM-A10,Sennheiser MKE 600,44100,,identified
1107045,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,10,song,male,adult,field recording,https://xeno-canto.org/1107045,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:49,12:53,2026-03-19,2026-05-10,,yes,no,,,no,ZOOM H2E,primo 164  +3D PARABOLIC REFLECTOR,48000,,identified
1107044,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,10,song,male,adult,field recording,https://xeno-canto.org/1107044,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,12:51,2026-03-19,2026-05-10,,yes,no,,,no,ZOOM H2E,primo 164  +3D PARABOLIC REFLECTOR,48000,,identified
1107043,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,10,song,male,adult,field recording,https://xeno-canto.org/1107043,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,5:53,12:22,2026-03-19,2026-05-10,,yes,no,,,no,ZOOM H2E,primo 164  +3D PARABOLIC REFLECTOR,48000,,identified
1105427,Copsychus,saularis,,birds,Oriental Magpie-Robin,Bo Shunqi 薄顺奇,China,,,,30,song,male,adult,field recording,https://xeno-canto.org/1105427,,,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,6:15,04:43,2025-05-09,2026-05-04,,yes,no,,,no,Sony A10 ,primo 164  +3D PARABOLIC REFLECTOR,48000,,identified
