id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1169643,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,call,uncertain,uncertain,field recording,https://xeno-canto.org/1169643,https://xeno-canto.org/1169643/download,"XC1169643-House-Crow-call-very-good-2026-08-14-Jumeriah-Village-Triangle,-Dubai,-UAE_SoundDevices702_Telinga9_2157_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,08:00,2026-08-14,2026-08-18,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1169641,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,call,uncertain,uncertain,field recording,https://xeno-canto.org/1169641,https://xeno-canto.org/1169641/download,"XC1169641-House-Crow-call-very-good-2026-08-14-Jumeriah-Village-Triangle,-Dubai,-UAE_SoundDevices702_Telinga9_2153_Edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,08:00,2026-08-14,2026-08-18,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1157333,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Al Mamzar Park, Dubai",25.3201,55.3488,0,call,uncertain,adult,field recording,https://xeno-canto.org/1157333,https://xeno-canto.org/1157333/download,"XC1157333-House-Crow-call-very-good-2026-04-19-Mamzar-Park,-Dubai,-UAE_SoundDevices702_Telinga9_1113_Edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:23,14:00,2026-04-19,2026-07-20,,yes,no,,,no,Sound devices mixpre 3 MKII,Telinga Pro 9 MKII,48000,,identified
1155834,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,call,uncertain,adult,field recording,https://xeno-canto.org/1155834,https://xeno-canto.org/1155834/download,"XC1155834-House-Crow-call-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1962_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1151978,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,call,uncertain,adult,field recording,https://xeno-canto.org/1151978,https://xeno-canto.org/1151978/download,"XC1151978-House-Crow-call-very-good-2026-06-27-Khor-Kalba-and-Mangrove-Centre,-Sharjah,-UAE_SoundDevices702_Telinga9_1783_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,13:00,2026-06-27,2026-07-01,,no,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
1151977,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,"aberrant, call",uncertain,adult,field recording,https://xeno-canto.org/1151977,https://xeno-canto.org/1151977/download,"XC1151977-House-Crow-call-odd-very-good-2026-06-27-Khor-Kalba-and-Mangrove-Centre,-Sharjah,-UAE_SoundDevices702_Telinga9_1800_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:55,13:00,2026-06-27,2026-07-01,,no,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
1151975,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,"aberrant, call",uncertain,adult,field recording,https://xeno-canto.org/1151975,https://xeno-canto.org/1151975/download,"XC1151975-House-Crow-call-odd-very-good-2026-06-27-Khor-Kalba-and-Mangrove-Centre,-Sharjah,-UAE_SoundDevices702_Telinga9_1799_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:24,13:00,2026-06-27,2026-07-01,,no,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
1151974,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,"aberrant, call",uncertain,adult,field recording,https://xeno-canto.org/1151974,https://xeno-canto.org/1151974/download,"XC1151974-House-Crow-call-odd-very-good-2026-06-27-Khor-Kalba-and-Mangrove-Centre,-Sharjah,-UAE_SoundDevices702_Telinga9_1798_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:28,13:00,2026-06-27,2026-07-01,,no,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
1149869,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Ras Al Khor Wildlife Sanctuary (near  Dubai), Dubai",25.1961,55.3309,0,alarm call,uncertain,adult,field recording,https://xeno-canto.org/1149869,https://xeno-canto.org/1149869/download,"XC1149869-House-Crow-alarm-very-good-2026-06-25-Ras-Al-Khor,-Dubai,-UAE_SoundDevices702_Telinga9_1725_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,07:00,2026-06-25,2026-06-25,,yes,no,,,no,Sound devices 702,Telinga Pro 9 MKII,48000,,identified
1138240,Corvus,splendens,,birds,House Crow,David Darrell-Lambert,United Arab Emirates,"Ras Al Khor Wildlife Sanctuary (near  Dubai), Dubai",25.1954,55.327,0,flight call,uncertain,adult,field recording,https://xeno-canto.org/1138240,https://xeno-canto.org/1138240/download,"XC1138240-House-Crow-flight-call-very-good-2026-05-27-Ras-Al-Khor,-Dubai,-UAE_1407_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,07:00,2026-05-27,2026-05-27,,yes,no,,,no,Sound Devices 702,Telinga pro 9 mkII,48000,,identified
