id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1173496,Eudynamys,scolopaceus,malayanus,birds,Asian Koel,Lars Lachmann,India,"Guwahati, Lower Assam Division, Assam",26.105,91.5909,70,song,uncertain,adult,field recording,https://xeno-canto.org/1173496,https://xeno-canto.org/1173496/download,XC1173496-260506_1252_Asian-Koel.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,2:08,02:00,2026-05-07,2026-08-24,"nocturnal concert of at least 3 singing birds, two different song types",no,no,,,no,TASCAM DR-40X,Sennheiser ME66 directional microphone,48000,Ninox scutulata,identified
1173494,Eudynamys,scolopaceus,malayanus,birds,Asian Koel,Lars Lachmann,India,"Guwahati, Lower Assam Division, Assam",26.105,91.5909,70,song,uncertain,adult,field recording,https://xeno-canto.org/1173494,https://xeno-canto.org/1173494/download,XC1173494-260506_1240_Asian-Koel.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,15:30,2026-05-06,2026-08-24,"three different birds singing during afternoon, song-type with slow series of single calls",yes,no,,,no,TASCAM DR-40X,Sennheiser ME66 directional microphone,48000,Pycnonotus cafer,identified
1173492,Eudynamys,scolopaceus,malayanus,birds,Asian Koel,Lars Lachmann,India,"Sonitpur (near  Bhaluk Mari Pathar No.2), North Assam Division, Assam",26.891,92.7975,110,song,uncertain,adult,field recording,https://xeno-canto.org/1173492,https://xeno-canto.org/1173492/download,XC1173492-260507_1292_Asian-Koel.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:49,18:30,2026-05-07,2026-08-24,"three different birds singing after dusk, song-type with series of calls increasing in pitch",no,no,,,no,TASCAM DR-40X,Sennheiser ME66 directional microphone,48000,,identified
1163242,Eudynamys,scolopaceus,mindanensis,birds,Asian Koel,Kelle Moreau,Philippines,"Olongapo City, Zambales, Central Luzon",14.7666,120.2657,20,song,male,adult,field recording,https://xeno-canto.org/1163242,https://xeno-canto.org/1163242/download,XC1163242-260318_PHL_Eudynamys-scolopaceus_SubicBay_04.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:32,16:51,2026-03-18,2026-08-04,"Same as XC1163239, XC1163240 & XC1163241",no,no,,,no,Olympus LS-P5 Linear PCM Recorder,,44100,,identified
1163241,Eudynamys,scolopaceus,mindanensis,birds,Asian Koel,Kelle Moreau,Philippines,"Olongapo City, Zambales, Central Luzon",14.7666,120.2657,20,song,male,adult,field recording,https://xeno-canto.org/1163241,https://xeno-canto.org/1163241/download,XC1163241-260318_PHL_Eudynamys-scolopaceus_SubicBay_03.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:30,16:49,2026-03-18,2026-08-04,"Same as XC1163239, XC1163240 & XC1163242",no,no,,,no,Olympus LS-P5 Linear PCM Recorder,,44100,,identified
1137891,Eudynamys,scolopaceus,,birds,Asian Koel,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",12.7161,102.197,10,call,"female, male",,field recording,https://xeno-canto.org/1137891,https://xeno-canto.org/1137891/download,XC1137891-Asian-Koel-20260527-01a-garden-Makham.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,07:06,2026-05-27,2026-05-27,"A male Asian Koel was chasing a female Asian Koel. This call was given during the flight. I thought the call was given by the female, but I'm not sure about that. ",yes,no,,,no,Zoom F3,Parabole,96000,,identified
1136884,Eudynamys,scolopaceus,,birds,Asian Koel,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",12.7161,102.197,10,call,male,,field recording,https://xeno-canto.org/1136884,https://xeno-canto.org/1136884/download,XC1136884-Asian-Koel-20260524-01a-Garden-Makham.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,06:20,2026-05-24,2026-05-24,This call was given before XC113688,yes,no,,,no,Zoom F3,Parabole,44100,,identified
1136883,Eudynamys,scolopaceus,,birds,Asian Koel,Albert Noorlander,Thailand,"Makham, Makham District, Chanthaburi",12.7161,102.197,10,call,male,uncertain,field recording,https://xeno-canto.org/1136883,https://xeno-canto.org/1136883/download,XC1136883-Asian-Koel-20260524-01b-Garden-Makham.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:27,06:22,2026-05-24,2026-05-24,,yes,no,,,no,Zoom F3,Parabole,44100,,identified
1135257,Eudynamys,scolopaceus,chinensis,birds,Asian Koel,wu555,China,"西溪湿地,Hang Zhou, Zhe Jiang Sheng",30.2806,120.0703,0,song,male,,field recording,https://xeno-canto.org/1135257,https://xeno-canto.org/1135257/download,XC1135257-噪鹃-杭州西溪湿地-20260518.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:43,7:15,2026-05-18,2026-05-18,,yes,no,,,yes,,,44100,,identified
1101779,Eudynamys,scolopaceus,,birds,Asian Koel,Bo Shunqi 薄顺奇,China,Shanghai Botanical Garden,31.1462,121.4462,10,song,uncertain,adult,field recording,https://xeno-canto.org/1101779,https://xeno-canto.org/1101779/download,XC1101779-Asian-Koel-噪鹃-song-X8-CICADA-植物园-2505270444_1419----A.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,3:19,04:44,2025-05-27,2026-04-21,,no,no,,,no,Tascam x8 ,CICADA,48000,,identified
1096405,Eudynamys,scolopaceus,,birds,Asian Koel,Uku Paal,Sri Lanka,"Negombo, Gampaha, Western Province",7.1491,79.8328,10,alarm call,,,field recording,https://xeno-canto.org/1096405,https://xeno-canto.org/1096405/download,XC1096405-asian-koel-Colombo-260304_2050-(15).mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,06:30,2026-03-04,2026-04-11,HPF,yes,no,,,no,Tascam DR100MK3,,48000,Pycnonotus cafer; Psilopogon zeylanicus,identified
