id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1100474,Halcyon,smyrnensis,perpulchra,birds,White-throated Kingfisher,Ding Li Yong,Singapore,Marina Grove,1.2788,103.8644,10,song,uncertain,adult,field recording,https://xeno-canto.org/1100474,https://xeno-canto.org/1100474/download,XC1100474-White-throated-Kingfisher_Marina2.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,1:07,08:30,2026-04-17,2026-04-17,,yes,no,,,no,,,48000,,identified
1100471,Halcyon,smyrnensis,perpulchra,birds,White-throated Kingfisher,Ding Li Yong,Singapore,Marina Grove,1.2788,103.8644,10,"call, song",uncertain,uncertain,field recording,https://xeno-canto.org/1100471,https://xeno-canto.org/1100471/download,XC1100471-White-throated-Kingfisher_Marina.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,1:36,08:30,2026-04-17,2026-04-17,,no,no,,,no,,,48000,,identified
1096621,Halcyon,smyrnensis,,birds,White-throated Kingfisher,Uku Paal,Sri Lanka,"Tissamaharama (near  Debarawewa), Hambantota, Southern Province",6.2907,81.2672,20,call,,,field recording,https://xeno-canto.org/1096621,https://xeno-canto.org/1096621/download,XC1096621-white-throated-kingfisher-tissa-jarv-260228_1913.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,09:00,2026-02-28,2026-04-11,HPF.,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1096620,Halcyon,smyrnensis,,birds,White-throated Kingfisher,Uku Paal,Sri Lanka,"Tissamaharama (near  Debarawewa), Hambantota, Southern Province",6.2907,81.2672,20,call,,,field recording,https://xeno-canto.org/1096620,https://xeno-canto.org/1096620/download,XC1096620-white-throated-kingfisher-tissa-jarv-260228_1912.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,09:00,2026-02-28,2026-04-11,HPF.,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1096383,Halcyon,smyrnensis,,birds,White-throated Kingfisher,Kasper Wieck,Turkey,"Kırmıtlı, Osmaniye Merkez, Osmaniye",37.168,36.1335,40,"call, flight call",,,field recording,https://xeno-canto.org/1096383,https://xeno-canto.org/1096383/download,XC1096383-smyrnakungs-damp.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,11:00,2026-03-30,2026-04-11,,yes,no,,,no,Zoom H1n,Wildtronics stereo pip,44100,,identified
1078104,Halcyon,smyrnensis,perpulchra,birds,White-throated Kingfisher,Ding Li Yong,Singapore,Marina Grove,1.2788,103.8644,10,song,uncertain,adult,field recording,https://xeno-canto.org/1078104,https://xeno-canto.org/1078104/download,XC1078104-White-throated-Kingfisher_Marina-Grove.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:18,08:00,2026-02-07,2026-02-07,,yes,no,,,no,,,48000,,identified
1077505,Halcyon,smyrnensis,,birds,White-throated Kingfisher,Christian Kerihuel,India,"Dholpur (near  Talram Sagar), Bharatpur Division, Rajasthan",26.5911,77.5955,240,call,,,field recording,https://xeno-canto.org/1077505,https://xeno-canto.org/1077505/download,XC1077505-martinpecheur-de-smyrne-6h36-26jan26.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,06:30,2026-01-26,2026-02-04,,yes,no,,,no,olympus LS-12,AOM-5024L,32000,,identified
1071357,Halcyon,smyrnensis,perpulchra,birds,White-throated Kingfisher,Lim Ying Hien 林勇贤,Malaysia,"North Seberang Perai District (near Kepala Batas), Penang",5.4748,100.4231,0,call,uncertain,adult,field recording,https://xeno-canto.org/1071357,https://xeno-canto.org/1071357/download,XC1071357-White-throated-Kingfisher-20260101-9.05am-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:32,09:00,2026-01-01,2026-01-08,,yes,no,,,no,TASCAM DR-05X,,48000,,identified
1069295,Halcyon,smyrnensis,,birds,White-throated Kingfisher,David Darrell-Lambert,Thailand,eBird hotspot: Benjakiti Park,13.7287,100.5542,0,song,uncertain,adult,field recording,https://xeno-canto.org/1069295,https://xeno-canto.org/1069295/download,"XC1069295-White-throated-Kingfisher-singing-very-good-2024-11-04-Benjakiti,-Bangkok,-Thailand_014_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,07:30,2024-11-04,2025-12-29,,yes,no,,,no,Sound devices mix pre 3 MKII,Telinga pro 9 MKII,48000,,identified
991851,Halcyon,smyrnensis,saturatior,birds,White-throated Kingfisher,Lim Ying Hien,India,"Kalatang, South Andaman County, Andaman and Nicobar Islands",11.7975,92.7177,120,call,uncertain,adult,field recording,https://xeno-canto.org/991851,https://xeno-canto.org/991851/download,XC991851-250402_2765-White-breasted-Waterhen-20250402-9.32am-Andaman-Kalatang-ebird-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:22,09:30,2025-04-02,2025-04-26,,yes,no,,,no,TASCAM DR-05X,,48000,,identified
