id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1166697,Milvus,migrans,,birds,Black Kite,Esperanza Poveda,Spain,"Aljarafe (near  Choza de Huerta Tejada), Sevilla, Andalucía",37.0713,-6.2763,0,flight call,uncertain,adult,field recording,https://xeno-canto.org/1166697,https://xeno-canto.org/1166697/download,XC1166697-milvus-migrans-frente-de-huertatejada-01-05-2026.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:11,?,2026-05-01,2026-08-15,  canal salpicado de tarays y alguna otra vegetación cerca de unas edificaciones en ruinas.,no,no,,,yes,olymppus dm770,no,44100,,identified
1161887,Milvus,migrans,,birds,Black Kite,João Ferreira Tomás,Spain,"Tierra del Vino (near  Fresno el Viejo), Valladolid, Castile and León",41.1701,-5.1149,750,call,uncertain,nestling,field recording,https://xeno-canto.org/1161887,https://xeno-canto.org/1161887/download,XC1161887-Milvus-migrans_nestling-call_Fresno-el-Viejo_290726_0705.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,4:06,7:05,2026-07-29,2026-07-29,A chick calling incessantly from its nest in a Pinus pinaster (practically a fledgling). It hasn’t stopped calling since the first glimmer of light.,yes,no,,,no,Zoom H5,Telinga PRO-X V.2,44100,Columba palumbus; Fringilla coelebs; Carduelis carduelis; Phylloscopus bonelli,identified
1156727,Milvus,migrans,,birds,Black Kite,Jordi Calvet,Spain,"Embassament d'Utxesa-Secà, Segrià, Catalunya",41.5048,0.547,150,"alarm call, call",uncertain,adult,field recording,https://xeno-canto.org/1156727,https://xeno-canto.org/1156727/download,XC1156727-MILMIG150726MixPre-022_FLIGHT-(3).wav,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,1:21,20:00,2026-07-15,2026-07-18,Flying in circles over the recordist,yes,no,,,no,MIXPRE 6,Telinga parabolic mic,48000,Oriolus oriolus; Merops apiaster,identified
1156724,Milvus,migrans,,birds,Black Kite,Jordi Calvet,Spain,"Embassament d'Utxesa-Secà, Segrià, Catalunya",41.5048,0.547,150,"alarm call, call",uncertain,adult,field recording,https://xeno-canto.org/1156724,https://xeno-canto.org/1156724/download,XC1156724-MILMIG150726MixPre-022_FLIGHT-(2).wav,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:21,20:00,2026-07-15,2026-07-18,,yes,no,,,no,MIXPRE 6,Telinga parabolic mic,48000,,identified
1138411,Milvus,migrans,lineatus,birds,Black Kite,Albert Lastukhin,China,"Hang Zhou Shi, Zhe Jiang Sheng",29.6976,119.0761,100,song,male,adult,field recording,https://xeno-canto.org/1138411,https://xeno-canto.org/1138411/download,"XC1138411-Milvus-migrans-lineatus-260501_002,-2.05.2026,-Ктай,-п.1,-05-40,47-A.mp3",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:17,06:30,2026-05-01,2026-05-28,,yes,no,,,no,,,44100,Spilopelia chinensis,identified
1138383,Milvus,migrans,lineatus,birds,Black Kite,Albert Lastukhin,China,"Hang Zhou Shi, Zhe Jiang Sheng",29.6976,119.0761,100,song,male,adult,field recording,https://xeno-canto.org/1138383,https://xeno-canto.org/1138383/download,"XC1138383-Milvus-migrans-lineatus-260501_002,-1.05.2026,-Ктай,-п.1,-18-16--00--20,11B1.mp3",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:21,16:00,2026-05-01,2026-05-28,,yes,no,,,no,,,44100,,identified
1138382,Milvus,migrans,lineatus,birds,Black Kite,Albert Lastukhin,China,"Hang Zhou Shi, Zhe Jiang Sheng",29.6976,119.0761,100,song,male,adult,field recording,https://xeno-canto.org/1138382,https://xeno-canto.org/1138382/download,"XC1138382-Milvus-migrans-lineatus-260501_002,-1.05.2026,-Ктай,-п.1,-18-16--00--20,11B.mp3",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:10,16:00,2026-05-01,2026-05-28,,yes,no,,,no,,,44100,,identified
1106035,Milvus,migrans,,birds,Black Kite,Beatrix Saadi-Varchmin,Germany,"Landsberg (near  Thaining), Upper Bavaria, Bavaria",47.9747,10.9722,700,call,"female, male",adult,field recording,https://xeno-canto.org/1106035,https://xeno-canto.org/1106035/download,XC1106035-SCHWARZMILANE---11_11--Thaining--VOC_260420-7387--A2.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:50,11:11,2026-04-20,2026-05-06,"a pair at the edge of the forest  near its breeding place, courtshipping. Bright and sunny weather, a lot of insects around me",yes,no,,,no,Olympus LS-100,Sennheiser MKH 70 P48,44100,Phylloscopus collybita; Periparus ater,identified
1106027,Milvus,migrans,,birds,Black Kite,Beatrix Saadi-Varchmin,Germany,"Landsberg (near  Thaining), Upper Bavaria, Bavaria",47.9747,10.9722,700,call,"female, male",adult,field recording,https://xeno-canto.org/1106027,https://xeno-canto.org/1106027/download,XC1106027-SCHWARZMILANE--11_11--Thaining--VOC_260420-7387-A1.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,11:11,2026-04-20,2026-05-06,"a pair at the edge of the forest  near its breeding place, courtshipping. Bright and sunny weather",yes,no,,,no,Olympus LS-100,Sennheiser MKH 70 P48,44100,Periparus ater,identified
1102742,Milvus,migrans,,birds,Black Kite,Beatrix Saadi-Varchmin,Germany,"Landsberg am Lech (near  Thaining), Oberbayern, Bayern",47.9731,10.9704,700,,"female, male",adult,field recording,https://xeno-canto.org/1102742,https://xeno-canto.org/1102742/download,XC1102742-SCHWARZMILANE-11_06-vor-Thaining--VOC_260420-7385-.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:31,11:06,2026-04-20,2026-04-24,a pair in its breeding territory,yes,no,,,no,Olympus LS-100,Sennheiser MKH 70 P48,44100,Phylloscopus collybita,identified
