id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1082534,Orthotomus,sutorius,longicauda,birds,Common Tailorbird,Ray Tsu 诸仁,China,"Bantianyun Road, Shenzhen, Guangdong",22.5199,114.4975,100,song,,,field recording,https://xeno-canto.org/1082534,https://xeno-canto.org/1082534/download,XC1082534-20260213-1047-半天云-长尾缝叶莺song-birdmic-h1e.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,10:47,2026-02-13,2026-02-22,,no,no,,,no,Zoom H1e,Birdmic,48000,,identified
914182,Orthotomus,sutorius,longicauda,birds,Common Tailorbird,Lim Ying Hien,Malaysia,"Karak, Pahang",3.4443,102.0149,90,call,uncertain,adult,field recording,https://xeno-canto.org/914182,https://xeno-canto.org/914182/download,XC914182-Common-Tailorbird-20240614-Karak-e2-eBird-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:03,08:00,2024-06-14,2024-06-18,,yes,no,,,no,TASCAM DR-05X,,48000,,identified
914180,Orthotomus,sutorius,maculicollis,birds,Common Tailorbird,Lim Ying Hien,Malaysia,"Karak, Pahang",3.4443,102.0149,90,song,uncertain,adult,field recording,https://xeno-canto.org/914180,https://xeno-canto.org/914180/download,XC914180-Common-Tailorbird-20240614-Karak-e-eBird-xeno.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:26,08:00,2024-06-14,2024-06-18,,yes,no,,,no,TASCAM DR-05X,,48000,,identified
864598,Orthotomus,sutorius,maculicollis,birds,Common Tailorbird,Bram Piot,Laos,"Lak Sao (Pha Dat), Khamkeuth, Bolikhamsai",18.1983,104.9217,500,song,,,field recording,https://xeno-canto.org/864598,https://xeno-canto.org/864598/download,XC864598-CommonTailorbird_LakSao_240128_3891_edited.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:09,13:00,2024-01-28,2024-01-30,,yes,no,,,no,,,44100,,identified
857646,Orthotomus,sutorius,maculicollis,birds,Common Tailorbird,Bram Piot,Laos,"Nong Khamsen wetland, Vientiane Prefecture",17.8269,102.6764,170,call,,,field recording,https://xeno-canto.org/857646,https://xeno-canto.org/857646/download,XC857646-CommonTailorbird_NongKhamsen_231225_3722_edited.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,07:30,2023-12-25,2023-12-27,,yes,no,,,no,,,44100,,identified
835194,Orthotomus,sutorius,,birds,Common Tailorbird,Agris Celmins,Thailand,"Nong Mak Hep reservoir, Udon Thani",17.2918,102.8404,190,song,,,field recording,https://xeno-canto.org/835194,https://xeno-canto.org/835194/download,"XC835194-Orthotomus-sutorius-Common-Tailorbird-song-2017-07-22-1100-Nong-Mak-Hep-reservoir,-Udon-Thani-17.291789,-102.840386-(seen)-ME66.wav",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:53,11:00,2017-07-22,2023-10-11,,yes,no,,,no,Olympus LS11,Sennheiser ME66,44100,,identified
835177,Orthotomus,sutorius,,birds,Common Tailorbird,Agris Celmins,Thailand,"Bang Kachao, Samut Prakan",13.697,100.5665,0,song,,,field recording,https://xeno-canto.org/835177,https://xeno-canto.org/835177/download,"XC835177-Orthotomus-sutorius-Common-Tailorbird-song-2016-07-19-0911-Bang-Kachao,-Samut-Prakan-13.697047,-100.566464-(seen)-ME66.wav",https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:40,09:11,2016-07-19,2023-10-11,,yes,no,,,no,Olympus LS11,Sennheiser ME66,44100,,identified
834670,Orthotomus,sutorius,longicauda,birds,Common Tailorbird,Geoff Carey,China,"Pak Sha O, Sai Kung District, New Territories, Hong Kong",22.4495,114.3209,70,call,,,field recording,https://xeno-canto.org/834670,https://xeno-canto.org/834670/download,XC834670-Orthotomus-sutorius-longicauda-MP-215-norm-8dB-NR-24dB-HP-800Hz.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:59,07:30,2021-03-14,2023-10-09,"Edge of evergreen broadleaf secondary forest. Normalised, 24dB HP 800Hz.",yes,no,,,no,Mix-Pre 3 (ii),Telinga Twin Science,48000,,identified
834669,Orthotomus,sutorius,longicauda,birds,Common Tailorbird,Geoff Carey,China,"Pak Sha O, Sai Kung District, New Territories, Hong Kong",22.4495,114.3209,70,song,,,field recording,https://xeno-canto.org/834669,https://xeno-canto.org/834669/download,XC834669-Orthotomus-sutorius-longicauda-T7239-norm-8dB-NR-24dB-HP-800Hz-24dB-LP-7kHz.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,2:41,07:30,2021-03-27,2023-10-09,"Edge of evergreen broadleaf secondary forest. Normalised, 8dB NR, 24dB HP 800Hz, 24dB LP 7.5kHz.",yes,no,,,no,Sound Devices 722,Telinga Twin Science,48000,,identified
834668,Orthotomus,sutorius,longicauda,birds,Common Tailorbird,Geoff Carey,China,"Pak Sha O, Sai Kung District, New Territories, Hong Kong",22.4495,114.3209,70,song,,,field recording,https://xeno-canto.org/834668,https://xeno-canto.org/834668/download,XC834668-Orthotomus-sutorius-longicauda-T7238-24dB-HP-800Hz-24dB-LP-7.5kHz.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,3:44,07:00,2021-03-27,2023-10-09,"Edge of evergreen broadleaf secondary forest. 24dB HP 800Hz, 24dB LP 7.5kHz.",yes,no,,,no,Sound Devices 722,Telinga Twin Science,48000,,identified
