id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1166423,Pavo,cristatus,,birds,Indian Peafowl,African Bioacoustics Community,South Africa,"City of Cape Town (near  Cape Town), City of Cape Town Metropolitan Municipality, Western Cape",-33.8214,18.6412,150,call,,,field recording,https://xeno-canto.org/1166423,https://xeno-canto.org/1166423/download,XC1166423-20260307_DV_AKaramitsos_XA60_A017C211_260307RI_SLE_250HP_-3dB_comb_peafowl.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,07:35,2026-03-07,2026-08-14,"250HP, -3dB normalised.

Recordist - A.Karamitsos",no,no,,,no,Canon XA60,"External Rode, directional, gain 8, 150HP",48000,,identified
1137972,Pavo,cristatus,,birds,Indian Peafowl,BeakTech,United Kingdom,"Keswick, Cumberland, England",54.6052,-3.1278,100,call,uncertain,uncertain,field recording,https://xeno-canto.org/1137972,https://xeno-canto.org/1137972/download,XC1137972-Unknown.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,05:30,2026-05-24,2026-05-27,"Zero filtering, recorded in countryside near keswick.",no,unknown,,,yes,Raspberry Pi 5,Samson Go,48000,Troglodytes troglodytes,identified
1096596,Pavo,cristatus,,birds,Indian Peafowl,Uku Paal,Sri Lanka,"Tissamaharama, Hambantota, Southern Province",6.3015,81.2677,30,song,,,field recording,https://xeno-canto.org/1096596,https://xeno-canto.org/1096596/download,XC1096596-indian-peafowl-tissa-rähnikoht-260228_1909.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:13,06:30,2026-02-28,2026-04-11,HPF.,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1096595,Pavo,cristatus,,birds,Indian Peafowl,Uku Paal,Sri Lanka,"Tissamaharama, Hambantota, Southern Province",6.3015,81.2677,30,song,,,field recording,https://xeno-canto.org/1096595,https://xeno-canto.org/1096595/download,XC1096595-indian-peafowl-tissa-rahnikoht-260228_1908.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,06:30,2026-02-28,2026-04-11,HPF.,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1096424,Pavo,cristatus,,birds,Indian Peafowl,Uku Paal,Sri Lanka,"Dambulla (near  Sigiriya), Matale, Central Province",7.9452,80.7637,200,song,,,field recording,https://xeno-canto.org/1096424,https://xeno-canto.org/1096424/download,XC1096424-indian-peafowl-sigirya-hotell-260223_1789.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:06,09:00,2026-02-23,2026-04-11,HPF,no,no,,,no,Tascam DR100MK3,,48000,,identified
1096393,Pavo,cristatus,,birds,Indian Peafowl,Uku Paal,Sri Lanka,"Dambulla, Matale, Central Province",7.961,80.7546,200,song,male,,field recording,https://xeno-canto.org/1096393,https://xeno-canto.org/1096393/download,XC1096393-indian-peafowl-sigirya-templ-260223_1809.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:09,07:00,2026-02-23,2026-04-11,HPF,yes,no,,,no,Tascam DR100MK3,,48000,Dicaeum erythrorhynchos,identified
1096392,Pavo,cristatus,,birds,Indian Peafowl,Uku Paal,Sri Lanka,"Dambulla, Matale, Central Province",7.961,80.7546,200,song,male,,field recording,https://xeno-canto.org/1096392,https://xeno-canto.org/1096392/download,XC1096392-indian-peafowl-sigirya-260223_1815.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:12,07:00,2026-02-23,2026-04-11,HPF,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1085991,Pavo,cristatus,,birds,Indian Peafowl,Ding Li Yong,India,Sultanpur National Park,28.464,76.893,240,song,uncertain,uncertain,field recording,https://xeno-canto.org/1085991,https://xeno-canto.org/1085991/download,XC1085991-Blue-Peafowl_Sultanpur1.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,0:10,10:00,2026-03-08,2026-03-08,,no,no,,,no,,,48000,,identified
1085965,Pavo,cristatus,,birds,Indian Peafowl,Ding Li Yong,India,Sultanpur National Park,28.464,76.893,240,call,uncertain,uncertain,field recording,https://xeno-canto.org/1085965,https://xeno-canto.org/1085965/download,XC1085965-Blue-Peafowl_Sultanpur.mp3,https://creativecommons.org/licenses/by-nc-nd/4.0/,A,1:00,09:00,2026-03-08,2026-03-08,,no,no,,,no,,,48000,,identified
1077506,Pavo,cristatus,,birds,Indian Peafowl,Christian Kerihuel,India,"Dholpur (near  Talram Sagar), Bharatpur Division, Rajasthan",26.5911,77.5955,240,song,,,field recording,https://xeno-canto.org/1077506,https://xeno-canto.org/1077506/download,XC1077506-paon-bleu-9h03-26jan26.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,09:00,2026-01-26,2026-02-04,,yes,no,,,no,olympus LS-12,AOM-5024L,32000,,identified
