id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1169692,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Kingdom,Tottenham Cemetery,51.6033,-0.078,20,call,uncertain,uncertain,field recording,https://xeno-canto.org/1169692,https://xeno-canto.org/1169692/download,"XC1169692-Ring-necked-Parakeet-call-very-good-2026-08-16-Tottenham-Cemetery,-London,-England_SoundDevices702_Telinga9_2184_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,10:30,2026-08-16,2026-08-18,,no,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1157345,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Arab Emirates,"Al Mamzar Park, Dubai",25.3201,55.3488,0,call,uncertain,uncertain,field recording,https://xeno-canto.org/1157345,https://xeno-canto.org/1157345/download,"XC1157345-Ring-necked-Parakeet-call-very-good-2026-04-19-Mamzar-Park,-Dubai,-UAE_SoundDevices702_Telinga9_1114_edited_WEBul.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:18,14:00,2026-04-19,2026-07-20,,yes,no,,,no,Sound devices mixpre 3 MKII,Telinga Pro 9 MKII,48000,Pycnonotus leucotis,identified
1153127,Psittacula,krameri,,birds,Rose-ringed Parakeet,Arjun Dutta,United Kingdom,"Great Britain (near  Wallington), Greater London, England",51.3532,-0.1461,80,"call, flight call",,,field recording,https://xeno-canto.org/1153127,https://xeno-canto.org/1153127/download,XC1153127-Parakeets-5-1-26-home.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:15,07:30,2026-01-05,2026-07-04,"Slightly but minimally edited with HPF, NR, Spectral Shelves etc.",no,no,,,no,Zoom H5,,44100,,identified
1142621,Psittacula,krameri,,birds,Rose-ringed Parakeet,Susanne Kuijpers,Netherlands,"Berkel en Rodenrijs, Lansingerland, Zuid-Holland",51.9892,4.4694,0,call,,,field recording,https://xeno-canto.org/1142621,https://xeno-canto.org/1142621/download,XC1142621-250608_8296-Halsbandparkiet.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:19,06:20,2026-06-08,2026-06-08,,no,no,,,yes,,,44100,,identified
1105526,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Kingdom,"Big Wood, London",51.5831,-0.1891,70,song,uncertain,adult,field recording,https://xeno-canto.org/1105526,https://xeno-canto.org/1105526/download,"XC1105526-Rose-ringed-Parakeet-singing-very-good-2026-04-25-Big-Wood,-London,-England_SoundDevices702_Telinga9_1153_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:42,07:30,2026-04-25,2026-05-04,,yes,no,,,no,Sound Devices 702,Telinga pro 9 mkII,48000,,identified
1105525,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Kingdom,"Big Wood, London",51.5831,-0.1891,70,call,uncertain,adult,field recording,https://xeno-canto.org/1105525,https://xeno-canto.org/1105525/download,"XC1105525-Rose-ringed-Parakeet-call-very-good-2026-04-25-Big-Wood,-London,-England_SoundDevices702_Telinga9_1152_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,07:30,2026-04-25,2026-05-04,,yes,no,,,no,Sound Devices 702,Telinga pro 9 mkII,48000,,identified
1103813,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Arab Emirates,"Mushrif Park (near  Dubai), Dubai",25.2237,55.4522,30,"call, displaying",uncertain,adult,field recording,https://xeno-canto.org/1103813,https://xeno-canto.org/1103813/download,"XC1103813-Ring-necked-Parakeet-call-very-good-2026-04-17-Mushrif-Park,-Dubai,-UAE_SoundDevices702_Telinga9_11025_Edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,14:00,2026-04-17,2026-04-28,,yes,no,,,no,Sound Devices 702,Telinga pro 9 mkII,48000,,identified
1103812,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Arab Emirates,"Mushrif Park (near  Dubai), Dubai",25.2237,55.4522,30,"call, displaying",uncertain,adult,field recording,https://xeno-canto.org/1103812,https://xeno-canto.org/1103812/download,"XC1103812-Ring-necked-Parakeet-call-very-good-2026-04-17-Mushrif-Park,-Dubai,-UAE_SoundDevices702_Telinga9_11019_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,14:00,2026-04-17,2026-04-28,,yes,no,,,no,Sound Devices 702,Telinga pro 9 mkII,48000,,identified
1102375,Psittacula,krameri,,birds,Rose-ringed Parakeet,Filippo Ceccolini,Belgium,"Palais (near  Bruxelles), Bruxelles",50.8436,4.3616,60,call,,,field recording,https://xeno-canto.org/1102375,https://xeno-canto.org/1102375/download,XC1102375-parrocchetto.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:04,12:30,2026-04-20,2026-04-22,,no,no,,,no,,,48000,,identified
1097321,Psittacula,krameri,,birds,Rose-ringed Parakeet,Uku Paal,Sri Lanka,"Lunugamvehera (near  Weligatta), Hambantota, Southern Province",6.1988,81.2021,0,call,,,field recording,https://xeno-canto.org/1097321,https://xeno-canto.org/1097321/download,XC1097321-rose-ringed-parakeet-bundala-260227_1876-(5).mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,07:30,2026-02-27,2026-04-12,hpf,no,no,,,no,Tascam DR100MK3,,48000,,identified
1096613,Psittacula,krameri,,birds,Rose-ringed Parakeet,Uku Paal,Sri Lanka,"Tissamaharama (near  Debarawewa), Hambantota, Southern Province",6.2907,81.2672,20,call,,,field recording,https://xeno-canto.org/1096613,https://xeno-canto.org/1096613/download,XC1096613-rose-ringed-parakeet-tissa-jarv-260228_1912.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:03,09:00,2026-02-26,2026-04-11,HPF.,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1096610,Psittacula,krameri,,birds,Rose-ringed Parakeet,Uku Paal,Sri Lanka,"Tissamaharama (near  Debarawewa), Hambantota, Southern Province",6.2907,81.2672,20,call,,,field recording,https://xeno-canto.org/1096610,https://xeno-canto.org/1096610/download,XC1096610-rose-ringed-parakeet-tissa-jarv-260228_1911.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:05,09:00,2026-02-26,2026-04-11,HPF.,yes,no,,,no,Tascam DR100MK3,,48000,Pavo cristatus; Psilopogon zeylanicus,identified
1096429,Psittacula,krameri,,birds,Rose-ringed Parakeet,Uku Paal,Sri Lanka,"Dambulla (near  Sigiriya), Matale, Central Province",7.9452,80.7637,200,call,,,field recording,https://xeno-canto.org/1096429,https://xeno-canto.org/1096429/download,XC1096429-rose-ringed-parakeet-sigirya-hotell-260222_1785.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:02,09:30,2026-02-22,2026-04-11,HPF,yes,no,,,no,Tascam DR100MK3,,48000,,identified
1096317,Psittacula,krameri,,birds,Rose-ringed Parakeet,Sergi Carreras,Spain,"Barcelonès (near  Barcelona), Barcelona, Catalunya",41.3881,2.1172,80,"call, flight call",uncertain,adult,field recording,https://xeno-canto.org/1096317,https://xeno-canto.org/1096317/download,XC1096317-Cotorreta-de-Kramer.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:29,11:30,2026-04-08,2026-04-11,Recorded in Jardins del Palau de Pedralbes.,yes,no,,,no,PARABOLIC DISH,,44100,,identified
1095786,Psittacula,krameri,,birds,Rose-ringed Parakeet,Hannu Varkki,Finland,"Puotila, Helsinki, Uusimaa",60.2109,25.1073,10,call,,,field recording,https://xeno-canto.org/1095786,https://xeno-canto.org/1095786/download,XC1095786-PSIKRA-2024-09-22-07-49-PUO-c-A.wav,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:40,07:49,2024-09-22,2026-04-09,An escaped bird.,yes,no,,,no,Zoom F3,Sennheiser ME66,48000,Branta canadensis; Emberiza schoeniclus,identified
1090602,Psittacula,krameri,,birds,Rose-ringed Parakeet,Nathan Foucray,Belgium,"Saint-Vincent (near  Evere), Flemish Brabant, Bruxelles",50.8825,4.3998,30,uncertain,uncertain,uncertain,field recording,https://xeno-canto.org/1090602,https://xeno-canto.org/1090602/download,XC1090602-PerruhesBx.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,29:55,16:00,2026-03-21,2026-03-23,Slight denoise. Natural reserve inside city near railway. Recorded very close to multiple nests. Loud train passing.,yes,no,,,no,Zoom F8,Oktava MK012,44100,,identified
1089724,Psittacula,krameri,,birds,Rose-ringed Parakeet,Thierry THOMAS,France,"Montpellier, Hérault, Occitanie",,,40,call,,,field recording,https://xeno-canto.org/1089724,https://xeno-canto.org/1089724/download,XC1089724-2026.03.21-08h17-Perruche.mp3,https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,08:17,2026-03-21,2026-03-21,,yes,no,,,yes,Zoom H4n Pro,Stereo EM272 capsules,44100,,identified
1086119,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Kingdom,"Cely Wood, Greater London, England",51.527,0.2483,20,call,uncertain,uncertain,field recording,https://xeno-canto.org/1086119,https://xeno-canto.org/1086119/download,"XC1086119-Rose-ringed-Parakeet-call-very-good-2026-03-04-Cely-Wood,-London,-England_sounddevices702_telinga9_602_edited.WAV.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,07:00,2026-03-04,2026-03-08,,yes,no,,,no,sound devices 702,Telinga pro 9 mkII,48000,,identified
1086118,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Kingdom,"Cely Wood, Greater London, England",51.527,0.2483,20,call,uncertain,uncertain,field recording,https://xeno-canto.org/1086118,https://xeno-canto.org/1086118/download,"XC1086118-Rose-ringed-Parakeet-call-very-good-2026-03-04-Cely-Wood,-London,-England_sounddevices702_telinga9_597_edited.WAV.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:07,07:00,2026-03-04,2026-03-08,,yes,no,,,no,sound devices 702,Telinga pro 9 mkII,48000,,identified
1080735,Psittacula,krameri,,birds,Rose-ringed Parakeet,David Darrell-Lambert,United Kingdom,"Queen's Wood, London",51.5817,-0.1422,80,call,uncertain,uncertain,field recording,https://xeno-canto.org/1080735,https://xeno-canto.org/1080735/download,"XC1080735-Ring-necked-Parakeet-call-very-good-2025-08-02-Queen-s-Wood,-London,-England_660_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,15:00,2025-09-02,2026-02-15,,yes,no,,,no,Sound devices 702,telinga pro 8 MKII,32000,,identified
