id,gen,sp,ssp,grp,en,rec,cnt,loc,lat,lon,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,rmk,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,also,status
1155860,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,song,uncertain,adult,field recording,https://xeno-canto.org/1155860,https://xeno-canto.org/1155860/download,"XC1155860-Red-vented-Bulbul-singing-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1970_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1155858,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,song,uncertain,adult,field recording,https://xeno-canto.org/1155858,https://xeno-canto.org/1155858/download,"XC1155858-Red-vented-Bulbul-singing-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1969_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:21,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1155857,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,song,uncertain,adult,field recording,https://xeno-canto.org/1155857,https://xeno-canto.org/1155857/download,"XC1155857-Red-vented-Bulbul-singing-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1968_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:47,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1155855,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Jumeirah Village Triangle, Dubai",25.0462,55.1906,0,call,uncertain,adult,field recording,https://xeno-canto.org/1155855,https://xeno-canto.org/1155855/download,"XC1155855-Red-vented-Bulbul-call-very-good-Jumeirah-Village-Triangle,-Dubai-UAE_SoundDevices702_Telinga9_1967_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:25,07:00,2026-07-12,2026-07-14,,yes,no,,,no,Sound Devices 702,Telinga Pro 9 MKII,48000,,identified
1135926,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Sufouh Beach, Dubai",25.1159,55.1703,0,song,uncertain,adult,field recording,https://xeno-canto.org/1135926,https://xeno-canto.org/1135926/download,"XC1135926-Red-vented-Bulbul-singing-very-good-2022-03-31-Open-Beach,-Sufouh,-Dubai,-UAE_1315_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,1:01,17:00,2021-12-24,2026-05-20,,yes,no,,,no,Sound Devices mixpre 3 MKII,Telinga pro 9 mkII,48000,,identified
1135925,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Sufouh, Dubai",25.1134,55.1762,0,call,uncertain,adult,field recording,https://xeno-canto.org/1135925,https://xeno-canto.org/1135925/download,"XC1135925-Red-vented-Bulbul-call-very-good-2021-12-24-Cordabo-Residence,-Sufouh,-Dubai,-UAE_1162_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,17:00,2021-12-24,2026-05-20,,yes,no,,,no,Sound Devices mixpre 3 MKII,Telinga pro 9 mkII,48000,,identified
1135923,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,Bahrain,"Barbar Farm, Bahrain",26.2298,50.471,0,song,uncertain,adult,field recording,https://xeno-canto.org/1135923,https://xeno-canto.org/1135923/download,"XC1135923-Red-vented-Bulbul-singing-very-good-2021-04-09-Barbar-Farm,-Bahrain_405_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:24,16:30,2021-04-09,2026-05-20,,yes,no,,,no,Sound Devices mixpre 3,Telinga pro 8 mkII,48000,,identified
1107306,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,"call, distress call",uncertain,adult,field recording,https://xeno-canto.org/1107306,https://xeno-canto.org/1107306/download,"XC1107306-Red-vented-Bulbul-distress-call-very-good-2026-04-20-Khor-Kalba,-Sharjah,-UAE_SoundDevices702_Telinga9_1129_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:22,14:00,2026-04-20,2026-05-10,,yes,no,,,no,Sound devices 702,telinga pro 9 mkII,48000,,identified
1107305,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Khorr Kalba, Sharjah",25.0173,56.3611,0,call,uncertain,adult,field recording,https://xeno-canto.org/1107305,https://xeno-canto.org/1107305/download,"XC1107305-Red-vented-Bulbul-call-very-good-2026-04-20-Khor-Kalba,-Sharjah,-UAE_SoundDevices702_Telinga9_1128_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:26,14:00,2026-04-20,2026-05-10,,yes,no,,,no,Sound devices 702,telinga pro 9 mkII,48000,,identified
1104098,Pycnonotus,cafer,,birds,Red-vented Bulbul,David Darrell-Lambert,United Arab Emirates,"Al Mamzar Park, Dubai",25.3201,55.3488,0,song,uncertain,adult,field recording,https://xeno-canto.org/1104098,https://xeno-canto.org/1104098/download,"XC1104098-Red-vented-Bulbul-singing-very-good-2026-04-18-Mamzar-Park,-Dubai,-UAE_SoundDevices702_Telinga9_1061_edited.wav",https://creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,10:00,2026-04-18,2026-04-30,,yes,no,,,no,Sound Devices 702,Telinga pro 9 mkII,48000,,identified
